name,bus,generator,storage_type,energy_capacity,initial_state_of_charge,end_state_of_charge,minimum_state_of_charge,charge_efficiency,discharge_efficiency,max_discharge_rate,min_discharge_rate,max_charge_rate,min_charge_rate,initial_charge_rate,initial_discharge_rate,charge_cost,discharge_cost,retention_rate_60min,ramp_up_input_60min,ramp_down_input_60min,ramp_up_output_60min,ramp_down_output_60min,in_service,capital_multiplier,extension_multiplier,investment_cost,investment_cost_kwh
PT1 0 PHS,PT1 0,,,41648986.0,,,0,0.8660254037844386,0.8660254037844386,4742.0,0,4742.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
RS1 0 PHS,RS1 0,,,14474384.0,,,0,0.8660254037844386,0.8660254037844386,1648.0,0,1648.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
SE2 0 PHS,SE2 0,,,799253.0,,,0,0.8660254037844386,0.8660254037844386,91.0,0,91.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
SI1 0 PHS,SI1 0,,,1580940.0,,,0,0.8660254037844386,0.8660254037844386,180.0,0,180.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
SK1 0 PHS,SK1 0,,,8943904.56,,,0,0.8660254037844386,0.8660254037844386,1018.32,0,1018.32,0,,,0,0,1,,,,,True,,,231987.99277992995,
AL1 0 hydro,AL1 0,,,14849418.1,,,0,0.0,0.9,1690.7,0,1690.7,0,,,0,0,1,,,,,True,,,231987.99277992995,
AT1 0 hydro,AT1 0,,,54876359.660000004,,,0,0.0,0.9,6248.02,0,6248.02,0,,,0,0,1,,,,,True,,,231987.99277992995,
BA1 0 hydro,BA1 0,,,14500733.0,,,0,0.0,0.9,1651.0,0,1651.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
BE1 0 hydro,BE1 0,,,111857.37898089149,,,0,0.0,0.9,12.73566878980889,0,12.73566878980889,0,,,0,0,1,,,,,True,,,231987.99277992995,
BG1 0 hydro,BG1 0,,,15801846.620000001,,,0,0.0,0.9,1799.14,0,1799.14,0,,,0,0,1,,,,,True,,,231987.99277992995,
CH1 0 hydro,CH1 0,,,84934420.56,,,0,0.0,0.9,9670.32,0,9670.32,0,,,0,0,1,,,,,True,,,231987.99277992995,
CZ1 0 hydro,CZ1 0,,,5457614.813764854,,,0,0.0,0.9,621.3839022845103,0,621.3839022845103,0,,,0,0,1,,,,,True,,,231987.99277992995,
DE1 0 hydro,DE1 0,,,114187.783,,,0,0.0,0.9,13.001,0,13.001,0,,,0,0,1,,,,,True,,,231987.99277992995,
DE1 1 hydro,DE1 1,,,2324330.0459499997,,,0,0.0,0.9,264.63964999999996,0,264.63964999999996,0,,,0,0,1,,,,,True,,,231987.99277992995,
DE1 2 hydro,DE1 2,,,327210.665,,,0,0.0,0.9,37.254999999999995,0,37.254999999999995,0,,,0,0,1,,,,,True,,,231987.99277992995,
DE1 3 hydro,DE1 3,,,40713.59650000001,,,0,0.0,0.9,4.6355,0,4.6355,0,,,0,0,1,,,,,True,,,231987.99277992995,
DE1 4 hydro,DE1 4,,,242753.337,,,0,0.0,0.9,27.639,0,27.639,0,,,0,0,1,,,,,True,,,231987.99277992995,
DE1 5 hydro,DE1 5,,,483662.24400000006,,,0,0.0,0.9,55.068000000000005,0,55.068000000000005,0,,,0,0,1,,,,,True,,,231987.99277992995,
