AL1 0,AT1 0,BA1 0,BE1 0,BG1 0,CH1 0,CZ1 0,DE1 0,DE1 1,DE1 2,DE1 3,DE1 4,DE1 5,DK1 0,DK2 0,EE7 0,ES1 0,ES4 0,FI2 0,FR1 0,FR1 1,FR1 2,FR1 3,FR1 4,FR5 0,GB0 0,GB0 1,GB6 0,GR1 0,HR1 0,HU1 0,IE6 0,IT1 0,IT1 1,IT3 0,LT7 0,LU1 0,LV7 0,ME1 0,MK1 0,NL1 0,NO2 0,PL1 0,PT1 0,RO1 0,RS1 0,SE2 0,SI1 0,SK1 0,XK1 0
730.9999847412109,5733.066650390625,1389.7049942016602,8650.573333740234,4063.0000076293945,7016.439971923828,5549.620010375977,8301.712677001953,10695.931480407715,7096.641426086426,4239.837677001953,7817.692977905273,4307.447074890137,2331.117301940918,898.862678527832,779.0999908447266,21253.2472076416,908.7528381347656,9237.400016784668,7424.499870300293,7118.2248458862305,18078.08726501465,10686.378143310547,19656.03791809082,178.77191162109375,22784.900566101074,8509.582565307617,886.2292022705078,5219.169990539551,1736.0,4054.1433334350586,2972.6899795532227,15269.473815917969,6190.876327514648,81.64982604980469,1069.2900085449219,445.69334411621094,633.0,427.0,997.0,11171.730010986328,15786.890007019043,14053.130012512207,4971.39998626709,5796.0000076293945,5514.0,14860.000015258789,1068.4499969482422,2700.9999923706055,1170.8649978637695
619.9999923706055,5591.89998626709,1317.1900024414062,8320.272506713867,3924.0000076293945,7134.2500076293945,5559.529983520508,8107.115020751953,10445.21174621582,6930.291442871094,4140.453071594238,7634.441055297852,4206.4776611328125,2254.875602722168,869.4644012451172,759.2000045776367,20034.364532470703,856.6354751586914,9141.199989318848,7244.596076965332,6945.7424392700195,17640.03540802002,10427.43547821045,19179.75057220459,174.44007110595703,22260.833290100098,8313.856727600098,865.8453750610352,4910.209999084473,1631.0000076293945,3809.8850021362305,2848.3600006103516,14367.850425720215,5825.320930480957,76.82860565185547,1031.0600051879883,430.82249450683594,607.0000076293945,394.99999237060547,945.0,10984.054985046387,15532.000015258789,13563.779983520508,4806.200035095215,5621.000030517578,5289.9999923706055,14594.999984741211,1128.2399978637695,2658.0000076293945,1088.5600051879883
554.0,5319.299995422363,1221.6200103759766,8000.68000793457,3838.0000076293945,6972.689994812012,5496.270004272461,7875.544357299805,10146.855949401855,6732.33544921875,4022.1856689453125,7416.371803283691,4086.324317932129,2182.098114013672,841.4019012451172,743.3000106811523,18899.87343597412,808.1265716552734,9148.699966430664,6869.149787902832,6585.784042358398,16725.852516174316,9887.040725708008,18185.77303314209,165.39983367919922,21037.766662597656,7857.072334289551,818.2736358642578,4677.460006713867,1557.0000076293945,3610.1550064086914,2677.154998779297,13572.550598144531,5502.873497009277,72.575927734375,1011.5800018310547,422.02750396728516,594.9999923706055,366.99999237060547,879.0,10686.042503356934,15426.539993286133,13111.759986877441,4549.800033569336,5523.0000076293945,4959.9999923706055,14203.999984741211,1099.3099975585938,2573.999984741211,976.9199981689453
523.0000076293945,5249.10001373291,1254.5400009155273,7795.527488708496,3795.0000076293945,7580.840019226074,5499.570007324219,7872.616912841797,10143.084213256836,6729.832931518555,4020.690559387207,7413.615036010742,4084.805374145508,2123.8775482177734,818.9524612426758,730.4000015258789,18182.545196533203,777.4548187255859,9206.300010681152,6616.226257324219,6343.294082641602,16110.00308227539,9522.997779846191,17516.168983459473,159.30977630615234,19079.256477355957,7125.618499755859,742.0964813232422,4571.970008850098,1513.0,3551.787498474121,2524.3950119018555,13196.874198913574,5350.558708190918,70.56709289550781,1031.1799926757812,416.7574996948242,595.9999923706055,351.0,829.0,10489.322494506836,15321.060005187988,12942.729988098145,4296.599998474121,5483.999984741211,4714.999984741211,14262.999984741211,1089.3899993896484,2570.0,881.4599914550781
528.0000152587891,5380.800003051758,1224.990005493164,7783.822486877441,3800.0000076293945,7179.810012817383,5505.09001159668,7824.305923461914,10080.840293884277,6688.534736633301,3996.0172271728516,7368.1207275390625,4059.738624572754,2140.188247680664,825.2417526245117,747.4999923706055,17930.329483032227,766.6705093383789,9432.300010681152,6577.3059005737305,6305.979293823242,16015.234985351562,9466.978141784668,17413.129020690918,158.37262725830078,17763.257194519043,6634.126106262207,690.9100723266602,4629.669998168945,1507.9999923706055,3570.1175079345703,2466.510009765625,13325.171241760254,5402.575637817383,71.25312805175781,1056.0699996948242,420.44749450683594,612.0000076293945,344.0,811.0,10579.912498474121,15248.269973754883,12969.750022888184,4122.299987792969,5455.9999923706055,4480.9999923706055,14256.999992370605,1115.5699996948242,2593.9999923706055,821.6600036621094
574.0000076293945,5487.0,1236.52001953125,7846.857490539551,3886.0,7123.019966125488,5500.110000610352,7617.373428344727,9814.228370666504,6511.640419006348,3890.3330001831055,7173.253143310547,3952.3691177368164,2215.5927734375,854.3172225952148,759.6999893188477,18156.652313232422,776.3476791381836,9419.199996948242,6603.762344360352,6331.344337463379,16079.654388427734,9505.057929992676,17483.171340942383,159.00965881347656,17996.13547515869,6721.100242614746,699.9679870605469,4720.0000076293945,1548.0,3657.3674926757812,2409.5400314331055,13956.732902526855,5658.63688659668,74.63025665283203,1076.8800048828125,422.67750549316406,629.0000076293945,344.0,811.0,10781.377494812012,15454.120010375977,13124.849990844727,4034.4999923706055,5453.0000076293945,4429.9999923706055,14453.000007629395,1171.0400085449219,2626.0,808.3200073242188
660.0000076293945,5833.299987792969,1222.3299942016602,7752.6875,4071.0,7103.04997253418,5565.160003662109,7716.086532592773,9941.41039276123,6596.0244140625,3940.7475967407227,7266.2109451293945,4003.5876388549805,2258.217124938965,870.7528686523438,768.8999938964844,18533.537368774414,792.4626541137695,9558.199996948242,6630.571510314941,6357.0475997924805,16144.932708740234,9543.645500183105,17554.14747619629,159.65518951416016,19592.3904876709,7317.261032104492,762.055061340332,4909.099983215332,1550.9999923706055,3709.6750106811523,2429.0399856567383,14369.268096923828,5825.895706176758,76.83618927001953,1092.370002746582,437.3675079345703,631.9999923706055,346.00000762939453,775.0,11091.29500579834,15880.39998626709,13035.929985046387,4026.1000061035156,5427.999977111816,4370.0000076293945,14888.000015258789,1213.509994506836,2631.0,768.6900024414062
801.0000076293945,6143.700012207031,1280.160011291504,7895.540000915527,4304.0000076293945,6947.139991760254,5563.699996948242,7855.573257446289,10121.125190734863,6715.263336181641,4011.986038208008,7397.565086364746,4075.962074279785,2336.530158996582,900.9498291015625,775.9000015258789,18469.284698486328,789.7153244018555,9522.300003051758,6602.704071044922,6330.329742431641,16077.0775680542,9503.534782409668,17480.369598388672,158.98418426513672,20657.653869628906,7715.1098709106445,803.4889831542969,5404.7399826049805,1664.0,3779.262496948242,2480.349998474121,14579.079864501953,5910.962020874023,77.95809936523438,1113.3099899291992,441.9699935913086,637.0,379.0,806.0,11393.192497253418,16240.530006408691,12978.09001159668,3953.399971008301,5492.999984741211,4518.0000076293945,15327.000007629395,1266.629997253418,2698.0,776.8100051879883
912.9999923706055,6408.099990844727,1378.75,8103.485000610352,4443.0,6991.909973144531,5945.759994506836,8285.029121398926,10674.43637084961,7082.379676818848,4231.317070007324,7801.982139587402,4298.790603637695,2450.8205642700195,945.0194244384766,818.6999893188477,19187.571899414062,820.4280624389648,9577.999992370605,6674.783187866211,6399.435447692871,16252.584648132324,9607.281089782715,17671.195877075195,160.7197494506836,21660.233192443848,8089.5478515625,842.4847640991211,5983.889991760254,1817.000015258789,3871.719985961914,2520.1600036621094,15306.332618713379,6205.8204345703125,81.84690856933594,1159.629997253418,446.2900085449219,676.9999923706055,416.0,858.0,11710.439994812012,16472.340003967285,13482.55997467041,3947.700019836426,5532.999984741211,4863.0,15501.999992370605,1323.3999938964844,2818.9999923706055,860.9599990844727
969.0,6657.0000076293945,1463.5500106811523,8361.902488708496,4498.999984741211,7167.090019226074,6259.560005187988,8711.082427978516,11223.36368560791,7446.587333679199,4448.910354614258,8203.19497680664,4519.853660583496,2597.2055435180664,1001.4644546508789,831.9999923706055,20897.460021972656,893.5399703979492,9680.600006103516,6880.085159301758,6596.2683181762695,16752.479209899902,9902.780372619629,18214.72385406494,165.66313934326172,23615.827796936035,8819.91283416748,918.5485153198242,6549.0200119018555,1926.0,3920.2024993896484,2611.9699783325195,16149.832458496094,6547.8101806640625,86.3573226928711,1207.6800003051758,462.9225082397461,712.0,440.0,908.0000076293945,12173.557518005371,16792.369995117188,14094.810043334961,4295.099983215332,5566.0,5114.0,15971.999984741211,1331.229995727539,2905.9999923706055,980.2099990844727
